,Optimal Weights
LOW,40.27%
HON,4.16%
AXP,3.06%
LRCX,24.25%
MS,22.67%
SO,2.89%
TMUS,2.68%
BA,0.00%
IBM,0.00%
ISRG,0.00%
CAT,0.00%
GS,0.00%
DE,0.00%
SYK,0.00%
INTC,0.00%
GE,0.00%
LMT,0.00%
PLD,0.00%
ELV,0.00%
T,0.00%
SBUX,0.00%
INTU,0.00%
QCOM,0.00%
COP,0.00%
UNP,0.00%
SPGI,0.00%
AMAT,0.00%
MDLZ,0.00%
C,0.00%
HCA,0.00%
PGR,0.00%
UBER,0.00%
BSX,0.00%
CI,0.00%
REGN,0.00%
MO,0.00%
ZTS,0.00%
CVS,0.00%
VRTX,0.00%
BKNG,0.00%
ADP,0.00%
MMC,0.00%
AMT,0.00%
TJX,0.00%
SCHW,0.00%
ADI,0.00%
BLK,0.00%
NOW,0.00%
GILD,0.00%
AMGN,0.00%
AAPL,0.00%
MSFT,0.00%
RTX,0.00%
PEP,0.00%
AVGO,0.00%
KO,0.00%
HD,0.00%
CVX,0.00%
MRK,0.00%
MA,0.00%
PG,0.00%
JPM,0.00%
WMT,0.00%
LLY,0.00%
JNJ,0.00%
XOM,0.00%
UNH,0.00%
V,0.00%
TSLA,0.00%
META,0.00%
BRK-B,0.00%
NVDA,0.00%
AMZN,0.00%
GOOG,0.00%
ORCL,0.00%
ABBV,0.00%
COST,0.00%
AMD,0.00%
BMY,0.00%
UPS,0.00%
WFC,0.00%
PM,0.00%
NFLX,0.00%
TXN,0.00%
VZ,0.00%
NEE,0.00%
ADBE,0.00%
CMCSA,0.00%
BAC,0.00%
DHR,0.00%
NKE,0.00%
DIS,0.00%
ABT,0.00%
CSCO,0.00%
CRM,0.00%
TMO,0.00%
PFE,0.00%
MCD,0.00%
DUK,0.00%
